,airport_code,cy17,cy16,perc_change
254,FLG,70694,64578,9.47
255,ISN,69802,68829,1.41
256,MHK,68791,63761,7.89
257,OTZ,67951,64481,5.38
258,GRI,66842,68879,-2.96
259,ACV,65932,69732,-5.45
260,OME,61651,60655,1.64
261,EAT,60331,60068,0.44
262,PUW,59246,61833,-4.18
263,SJT,59202,60277,-1.78
264,ACT,58877,64356,-8.51
265,SBY,57421,58695,-2.17
266,PSM,56739,73247,-22.54
267,ROW,55211,44378,24.41
268,ORH,53925,57800,-6.7
269,PGV,51964,47457,9.5
270,LAW,50939,51088,-0.29
271,SAW,50933,45462,12.03
272,LCH,50899,53576,-5.0
273,VQS,50510,63104,-19.96
274,CSG,49771,44813,11.06
275,MVY,49767,54084,-7.98
276,ALW,49702,47439,4.77
277,TYR,49647,52494,-5.42
278,DHN,47299,49411,-4.27
279,HOM,46307,44117,4.96
280,BRW,45958,45300,1.45
281,TWF,45736,38869,17.67
282,VLD,43738,40275,8.6
283,RDD,42359,43414,-2.43
284,FLO,42058,45300,-7.16
285,SCC,41849,51205,-18.27
286,SUX,41778,36413,14.73
287,GTR,41632,40823,1.98
288,DBQ,40316,37954,6.22
289,PIH,40188,34462,16.62
290,COD,39578,40340,-1.89
291,SPS,38768,40165,-3.48
292,LNY,37993,43275,-12.21
293,ABY,37920,34226,10.79
294,YNG,36455,53633,-32.03
295,BQK,36433,36054,1.05
296,JLN,35498,27930,27.1
297,TNI,34910,38452,-9.21
298,AKN,34740,36717,-5.38
299,TXK,34101,33565,1.6
300,BGM,33423,68415,-51.15
301,PIR,32820,8246,298.01
302,RVR,32299,43005,-24.89
303,GUC,32250,34979,-7.8
304,LUK,30666,25706,19.3
305,DUT,30080,31055,-3.14
306,GCC,29271,28383,3.13
307,BJI,29038,25510,13.83
308,DLG,28862,33616,-14.14
309,HVN,28662,27911,2.69
310,BTM,27701,25890,6.99
311,ABR,27635,26529,4.17
312,SWO,27370,10362,164.14
313,ALO,27358,27069,1.07
314,GCK,26687,26825,-0.51
315,CPX,26556,31141,-14.72
316,HXD,26220,30956,-15.3
317,HGR,25576,27274,-6.23
318,CKB,25105,26025,-3.54
319,CMX,24843,25439,-2.34
320,SMX,24525,40120,-38.87
321,PLN,23961,25497,-6.02
322,MEI,23923,26359,-9.24
323,BPT,23767,26518,-10.37
324,RHI,23014,20414,12.74
325,OGS,22957,10281,123.3
326,PSG,22915,21896,4.65
327,EAU,22822,21304,7.13
328,ART,22785,17312,31.61
329,CIU,22261,20974,6.14
330,BRD,21376,18328,16.63
331,MMH,21348,21826,-2.19
332,PGA,21341,17435,22.4
333,GRO,21214,19178,10.62
334,STC,20918,15615,33.96
335,PAH,20910,20266,3.18
336,OGD,20315,15609,30.15
337,HYA,19863,31027,-35.98
338,OWB,19576,23537,-16.83
339,VCV,19337,17538,10.26
340,GGG,19255,22480,-14.35
341,DIK,18963,16822,12.73
342,SIG,18361,24054,-23.67
343,IPT,18321,19320,-5.17
344,CDV,18280,18649,-1.98
345,RKS,18109,16110,12.41
346,IMT,17707,12604,40.49
347,BFI,17214,17795,-3.26
348,EKO,17115,14893,14.92
349,WST,17021,17218,-1.14
350,MKG,17007,18165,-6.37
351,ESC,16781,16822,-0.24
352,HOB,16214,14707,10.25
353,UNK,16111,16948,-4.94
354,RKD,16092,16206,-0.7
355,LAR,16072,15957,0.72
356,CDC,15588,14413,8.15
357,BID,15497,17225,-10.03
358,HIB,15377,12654,21.52
359,INL,15278,13831,10.46
360,CCR,14508,67,21553.73
361,SLN,13797,3967,247.79
362,WRG,13160,12569,4.7
363,OTH,12967,14719,-11.9
364,PQI,12735,12526,1.67
365,ANI,12732,13688,-6.98
366,BKL,11989,9917,20.89
367,PIB,11724,12367,-5.2
368,KSM,11528,12851,-10.29
369,TUP,11435,7539,51.68
370,SGJ,11427,28462,-59.85
371,VDZ,11321,12631,-10.37
372,APN,11317,10031,12.82
373,MRI,11314,19144,-40.9
374,ATY,11160,2117,427.16
