,Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
3143,2017062240956,31-May-17,5/24/2017 0:00,CLE,Cleveland Hopkins International,UAL,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming; Musical Instruments & Accessories,-,In Review
3145,2017112245341,31-Oct-17,10/14/2017 18:16,CLE,Cleveland Hopkins International,Frontier Airlines,Passenger Property Loss,Checked Baggage,Personal Accessories,-,In Review
3148,2017061340524,1-May-17,4/23/2017 20:00,CLT,Airport,American Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
3151,2017061340485,1-May-17,4/22/2017 22:00,CLT,Airport,American Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00,Deny
3154,2017050139159,1-May-17,3/4/2017 0:00,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Other,$207.00,Settle
3157,2017100243883,1-Sep-17,8/21/2017 0:00,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,-,In Review
3160,2017100443996,1-Sep-17,7/31/2017 11:05,CLT,Airport,British Airways,Passenger Property Loss,Checked Baggage,Clothing; Cosmetics & Grooming; Food & Drink; Other,-,In Review
3163,2017091342999,2-Aug-17,7/27/2017 0:00,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Personal Accessories,-,In Review
3166,2017070641229,2-Jun-17,5/23/2017 0:00,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Other,-,In Review
3169,2017061540741,2-May-17,4/23/2017 16:05,CLT,Airport,American Airlines,Passenger Property Loss,Checkpoint,Jewelry & Watches,$115.24,Approve in Full
3172,2017110845071,2-Nov-17,10/7/2017 0:00,CLT,Airport,American Airlines,Property Damage,Checked Baggage,Jewelry & Watches,-,In Review
3175,2017112445372,2-Nov-17,10/18/2017 0:00,CLT,Airport,Not Provided,Property Damage,Checked Baggage,Other,-,In Review
3178,2017112845482,2-Nov-17,11/1/2017 0:00,CLT,Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses; Sporting Equipment & Supplies,-,*Insufficient
3181,2018010346402,3-Jan-17,11/16/2017 6:45,CLT,Airport,Southwest Airlines,Property Damage,Checked Baggage,Household Items,-,In Review
3184,2017091443065,4-Aug-17,8/2/2017 0:00,CLT,Airport,Lufthansa,Property Damage,Checked Baggage,Audio/Video,-,In Review
3187,2017091443146,4-Aug-17,6/29/2017 0:00,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Cosmetics & Grooming,-,In Review
3190,2017071041307,4-Jun-17,5/29/2017 12:00,CLT,Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Automobile Parts & Accessories,-,In Review
3193,2017100443979,4-Oct-17,8/26/2017 0:00,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,-,In Review
3196,2017091943205,7-Aug-17,7/29/2017 0:00,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Clothing,-,In Review
3199,2017071841669,7-Jun-17,4/29/2017 17:19,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies,-,In Review
3202,2017062741032,7-Jun-17,5/29/2017 0:00,CLT,Airport,UAL,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,*Insufficient
3205,2017100443953,7-Sep-17,8/20/2017 19:30,CLT,Airport,American Airlines,Passenger Property Loss,Checkpoint,Audio/Video,-,In Review
3208,2017030737883,8-Mar-17,3/6/2017 0:00,CLT,Airport,UAL,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,*Insufficient
3211,2017053040028,8-May-17,3/28/2017 0:00,CLT,Airport,Not Provided,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
3214,2017092143383,9-Aug-17,7/11/2017 6:30,CLT,Airport,American Airlines,Property Damage,Checked Baggage,Sporting Equipment & Supplies,-,In Review
3217,2017071341492,9-Jun-17,6/4/2017 0:00,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Office Equipment & Supplies,-,Closed: Canceled
3220,2017050339208,9-Mar-17,2/7/2017 0:00,CLT,Airport,American Airlines,Property Damage,Checkpoint,Baggage/Cases/Purses,-,In Review
3223,2017050239173,9-Mar-17,2/18/2017 0:00,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,$0.00,Deny
3226,2017052539951,10-Apr-17,4/7/2017 0:00,CLT,Airport,American Airlines,Property Damage,Checkpoint,Other,-,In Review
3229,2017092043274,10-Aug-17,7/24/2017 15:17,CLT,Airport,American Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing,-,In Review
3232,2017081642263,10-Jul-17,6/26/2017 12:12,CLT,Airport,American Airlines,-,-,Household Items,-,In Review
3235,2017051039383,10-Mar-17,3/6/2017 0:00,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Currency,$0.00,Deny
3238,2018011246781,11-Dec-17,12/3/2017 0:00,CLT,Airport,American Airlines,Property Damage,Checked Baggage,Cosmetics & Grooming; Food & Drink,-,In Review
3241,2017083142559,11-Jul-17,6/19/2017 20:00,CLT,Airport,American Airlines,Property Damage,Checkpoint,Baggage/Cases/Purses,-,*Insufficient
3244,2017062941118,11-May-17,4/22/2017 0:00,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,-,-,In Review
3247,2017100443987,11-Sep-17,8/21/2017 0:00,CLT,Airport,American Airlines,Property Damage,Checked Baggage,Other,-,In Review
3250,2017100544048,12-Sep-17,9/7/2017 7:15,CLT,Airport,American Airlines,Property Damage,Checked Baggage,-,-,In Review
3253,2017053040012,13-Apr-17,4/5/2017 20:40,CLT,Airport,American Airlines,Property Damage,Checked Baggage,Hunting & Fishing Items,-,In Review
3256,2017082342396,13-Jul-17,6/14/2017 0:00,CLT,Airport,American Airlines,Property Damage,Checked Baggage,Sporting Equipment & Supplies,$80.00,Approve in Full
3259,2017050839270,13-Mar-17,3/6/2017 9:45,CLT,Airport,Jet Blue,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,-,In Review
3262,2017092043219,14-Aug-17,8/14/2017 8:49,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Automobile Parts & Accessories; Baggage/Cases/Purses; Incidentals; Personal Electronics,-,In Review
3265,2017082342390,14-Jul-17,6/16/2017 0:00,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,-,In Review
3268,2017072541806,14-Jun-17,6/6/2017 6:07,CLT,Airport,American Airlines,Property Damage,Checked Baggage,Clothing,-,In Review
3271,2017050939322,14-Mar-17,2/27/2017 9:30,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Clothing; Jewelry & Watches,-,In Review
3274,2017092043328,14-Sep-17,8/28/2017 19:30,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Clothing,$0.00,Deny
3277,2017092143442,15-Aug-17,7/26/2017 11:00,CLT,Airport,Delta Air Lines,Property Damage,Checkpoint,Personal Electronics,-,In Review
3280,2017092743591,15-Aug-17,5/29/2017 12:01,CLT,Airport,American Airlines,Property Damage,Checked Baggage,Sporting Equipment & Supplies,-,In Review
3283,2017060640312,15-Mar-17,3/11/2017 10:10,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Personal Electronics,$121.98,Approve in Full
3286,2017051539514,15-May-17,3/13/2017 18:39,CLT,Airport,Sun Country Airlines Inc,Property Damage,Checked Baggage,Medical/Science,$0.00,Deny
3289,2017041738627,16-Feb-17,1/7/2017 15:36,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses;Clothing; Jewelry & Watches; Personal Electronics,$0.00,Deny
3292,2017062941067,16-Jun-17,5/17/2017 0:00,CLT,Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,-,In Review
3295,2017061540727,16-May-17,5/3/2017 19:00,CLT,Airport,American Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,$75.00,Approve in Full
3298,2017061540734,16-May-17,4/26/2017 0:00,CLT,Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Other,-,*Insufficient
3301,2017103144916,16-Oct-17,9/22/2017 13:00,CLT,Airport,American Airlines,Property Damage,Checkpoint,Home Decor,-,In Review
3304,2017111445114,16-Oct-17,10/10/2017 17:40,CLT,Airport,American Airlines,Passenger Property Loss,Checkpoint,Personal Accessories,-,In Review
3307,2017050539240,17-Mar-17,2/9/2017 0:00,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Other,-,In Review
3310,2017052339888,18-Apr-17,4/2/2017 5:30,CLT,Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,In Review
3313,2017060640318,18-Apr-17,4/9/2017 6:00,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Other,-,In Review
3316,2017092843684,18-Aug-17,8/7/2017 17:05,CLT,Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
3319,2017121846038,18-Dec-17,5/20/2017 0:00,CLT,Airport,American Airlines,Property Damage,Checkpoint,Personal Electronics,-,In Review
3322,2017070741303,18-May-17,5/1/2017 0:00,CLT,Airport,Delta Air Lines,Property Damage,Checked Baggage,Clothing,-,In Review
3325,2017071141391,18-May-17,1/14/2017 17:30,CLT,Airport,American Airlines,Property Damage,Checkpoint,Medical/Science,-,In Review
3328,2017101844504,18-Oct-17,9/10/2017 0:00,CLT,Airport,British Airways,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,*Insufficient
3331,2017101744436,18-Sep-17,9/7/2017 0:00,CLT,Airport,American Airlines,Passenger Property Loss,Checkpoint,Food & Drink,-,In Review
3334,2018010946691,20-Dec-17,12/11/2017 10:00,CLT,Airport,American Airlines,Property Damage,Checked Baggage,Sporting Equipment & Supplies,-,In Review
3337,2017063041157,20-Jun-17,6/19/2017 17:00,CLT,Airport,American Airlines,Passenger Property Loss,Checkpoint,Currency,-,In Review
3340,2017072741928,20-Jun-17,6/5/2017 10:00,CLT,Airport,Jet Blue,Property Damage,Checkpoint,Clothing,-,In Review
3343,2017111945246,20-Oct-17,8/23/2017 11:52,CLT,Airport,Southwest Airlines,Property Damage,Checked Baggage,Travel Accessories,-,In Review
3346,2017101744418,20-Sep-17,9/9/2017 16:00,CLT,Airport,Not Provided,Passenger Property Loss,Checked Baggage,Personal Accessories,-,In Review
3349,2017102644731,20-Sep-17,9/14/2017 0:00,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Other,-,In Review
3352,2017061340593,21-Apr-17,3/22/2017 0:00,CLT,Airport,American Airlines,Property Damage,Checked Baggage,Musical Instruments & Accessories,-,In Review
3355,2017060240140,21-Apr-17,4/20/2017 0:00,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,$25.85,Approve in Full
3358,2017072641869,21-Jun-17,6/5/2017 0:00,CLT,Airport,American Airlines,Property Damage,Checkpoint,Other,-,In Review
3361,2017080442082,21-Jun-17,5/23/2017 0:00,CLT,Airport,Lufthansa,Property Damage,Checked Baggage,Sporting Equipment & Supplies,-,In Review
3364,2017062240967,22-Jun-17,6/2/2017 0:00,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Clothing,-,In Review
3367,2017080142018,22-Jun-17,6/9/2017 0:00,CLT,Airport,American Airlines,Property Damage,Checked Baggage,Personal Accessories,-,In Review
3370,2017070541191,22-May-17,5/11/2017 19:51,CLT,Airport,American Airlines,Property Damage,Checked Baggage,Computer & Accessories,-,In Review
3373,2017092843731,23-Aug-17,8/14/2017 4:28,CLT,Airport,UAL,Property Damage,Checked Baggage,Clothing,-,In Review
3376,2017031537979,23-Jan-17,1/10/2017 16:57,CLT,Airport,American Airlines,Property Damage,Checked Baggage,Audio/Video; Personal Electronics,-,In Review
3379,2017082442445,23-Jul-17,7/17/2017 0:00,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,In Review
3382,2017072641850,23-Jun-17,6/21/2017 6:00,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Jewelry & Watches; Personal Electronics; Travel Accessories,-,*Insufficient
3385,2017112145281,23-Oct-17,10/21/2017 0:00,CLT,Airport,American Airlines,Property Damage,Checked Baggage,Computer & Accessories,-,In Review
3388,2017112845552,23-Oct-17,3/20/2017 0:00,CLT,Airport,-,Property Damage,Checked Baggage,-,-,In Review
3391,2017092643530,24-Aug-17,8/23/2017 0:00,CLT,Airport,American Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing; Food & Drink,-,In Review
3394,2017092643532,24-Aug-17,8/20/2017 0:00,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,-,In Review
3397,2017101144234,24-Aug-17,8/14/2017 0:00,CLT,Airport,Not Provided,Passenger Property Loss,Checked Baggage,Medical/Science,-,In Review
3400,2017042138777,24-Feb-17,1/8/2017 0:00,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,*Insufficient
3403,2017091443134,24-Jul-17,7/20/2017 0:00,CLT,Airport,American Airlines,Passenger Property Loss,Checkpoint,Medical/Science,-,In Review
3406,2017112445366,24-Nov-17,10/3/2017 0:00,CLT,Airport,Southwest Airlines,Passenger Property Loss,-,Household Items; Other,-,In Review
3409,2017060640222,25-Apr-17,4/4/2017 0:00,CLT,Airport,American Airlines,Property Damage,Checkpoint,Computer & Accessories,-,In Review
3412,2017071141341,25-May-17,4/7/2017 16:15,CLT,Airport,Lufthansa,Property Damage,Checked Baggage,Hunting & Fishing Items; Travel Accessories,-,In Review
3415,2017072641851,26-Jul-17,7/26/2017 0:00,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,-,Closed: Canceled
3418,2017060940436,27-Apr-17,4/21/2017 0:00,CLT,Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,-,-,In Review
3421,2017061340514,27-Apr-17,4/24/2017 0:00,CLT,Airport,-,Property Damage,Checked Baggage,Food & Drink,-,In Review
3424,2017061340574,27-Apr-17,3/26/2017 0:00,CLT,Airport,American Airlines,Passenger Property Loss,Checkpoint,Medical/Science,-,In Review
3427,2017092943772,27-Aug-17,7/30/2017 8:00,CLT,Airport,Southwest Airlines,Property Damage,Checked Baggage,Clothing,-,In Review
3430,2017081842330,27-Jun-17,6/21/2017 7:40,CLT,Airport,American Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
3433,2017122046168,27-Nov-17,11/8/2017 0:00,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,-,In Review
3436,2017102444642,27-Sep-17,9/26/2017 11:15,CLT,Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Personal Electronics,-,In Review
3439,2017092843667,28-Aug-17,8/27/2017 0:00,CLT,Airport,Southwest Airlines,Passenger Property Loss,Checkpoint,Other,-,In Review
3442,2018010946641,28-Dec-17,11/29/2017 0:00,CLT,Airport,American Airlines,Property Damage,Checkpoint,Jewelry & Watches,-,In Review
3445,2017042739006,28-Feb-17,2/26/2017 0:00,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,$51.50,Approve in Full
3448,2017071341553,28-Jun-17,6/17/2017 22:00,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Audio/Video; Cosmetics & Grooming; Personal Electronics,-,In Review
3451,2017121846026,30-Nov-17,11/17/2017 0:00,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,-,-,In Review
3454,2017091443111,31-Jul-17,7/27/2017 0:00,CLT,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Other,-,In Review
3456,2017033038304,1-Feb-17,2/1/2017 5:45,CMH,John Glenn Columbus International,-,Passenger Property Loss,Checkpoint,-,$8.95,Approve in Full
3458,2017061340543,1-May-17,4/3/2017 0:00,CMH,John Glenn Columbus International,UAL,Passenger Property Loss,Checked Baggage,Travel Accessories,$21.70,Approve in Full
3460,2017112445363,2-Nov-17,9/25/2017 0:00,CMH,John Glenn Columbus International,American Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses; Household Items,-,In Review
3462,2017091443086,3-Aug-17,7/27/2017 7:40,CMH,John Glenn Columbus International,UAL,Passenger Property Loss,Checked Baggage,Clothing,-,*Insufficient
3464,2017071741599,3-Jul-17,4/17/2017 0:00,CMH,John Glenn Columbus International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,-,In Review
3466,2017120545723,3-Nov-17,10/3/2017 12:43,CMH,John Glenn Columbus International,Delta Air Lines,Passenger Property Loss,Checkpoint,Personal Accessories,-,In Review
3468,2017100443946,5-Sep-17,8/25/2017 0:00,CMH,John Glenn Columbus International,American Airlines,Passenger Property Loss,Checked Baggage,Cameras; Cosmetics & Grooming; Jewelry & Watches,-,In Review
3470,2017120745792,7-Dec-17,11/5/2017 5:25,CMH,John Glenn Columbus International,-,Property Damage,Checkpoint,Computer & Accessories,-,In Review
3472,2017102444651,10-Oct-17,10/7/2017 0:00,CMH,John Glenn Columbus International,American Airlines,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,-,In Review
3474,2017121946085,11-Dec-17,10/11/2017 0:00,CMH,John Glenn Columbus International,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
3476,2017100544077,12-Sep-17,9/2/2017 16:00,CMH,John Glenn Columbus International,American Airlines,Property Damage,Checked Baggage,-,-,In Review
3478,2017110745044,13-Oct-17,10/5/2017 17:15,CMH,John Glenn Columbus International,Southwest Airlines,Property Damage,Checkpoint,Personal Documents,-,In Review
3480,2017041738613,14-Feb-17,2/5/2017 0:00,CMH,John Glenn Columbus International,-,Passenger Property Loss,Checkpoint,Audio/Video,-,In Review
3482,2017102344633,14-Sep-17,9/4/2017 0:00,CMH,John Glenn Columbus International,Delta Air Lines,Property Damage,Checkpoint,Baggage/Cases/Purses,-,In Review
3484,2017110745050,16-Oct-17,10/10/2017 7:20,CMH,John Glenn Columbus International,American Airlines,Passenger Property Loss,Checked Baggage,Personal Electronics,-,*Insufficient
3486,2017051939756,17-Apr-17,3/29/2017 0:00,CMH,John Glenn Columbus International,American Airlines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,-,In Review
3488,2017072541839,19-Jun-17,6/18/2017 0:00,CMH,John Glenn Columbus International,American Airlines,Passenger Property Loss,Checked Baggage,-,-,In Review
3490,2017052239804,20-Mar-17,3/19/2017 0:00,CMH,John Glenn Columbus International,Southwest Airlines,Passenger Property Loss,Checkpoint,Clothing,$0.00,Deny
3492,2017122146207,21-Dec-17,12/21/2017 0:00,CMH,John Glenn Columbus International,American Airlines,Passenger Property Loss,Checked Baggage,Personal Electronics,-,*Insufficient
3494,2017072041732,21-Jun-17,6/1/2017 5:15,CMH,John Glenn Columbus International,Southwest Airlines,Property Damage,Checkpoint,Personal Electronics,-,In Review
3496,2017051039387,21-Mar-17,3/11/2017 0:00,CMH,John Glenn Columbus International,Southwest Airlines,Property Damage,Checkpoint,Jewelry & Watches,$205.00,Settle
3498,2017061340566,24-Apr-17,3/13/2017 0:00,CMH,John Glenn Columbus International,-,Property Damage,Checked Baggage,Computer & Accessories,-,In Review
3500,2018010546532,26-Dec-17,8/10/2017 7:45,CMH,John Glenn Columbus International,Not Provided,Property Damage,Checkpoint,Travel Accessories,-,In Review
3502,2017102644815,26-Oct-17,10/26/2017 0:00,CMH,John Glenn Columbus International,Air Canada,Property Damage,Checked Baggage,Sporting Equipment & Supplies,-,*Insufficient
3504,2017060940443,27-Apr-17,3/9/2017 0:00,CMH,John Glenn Columbus International,Etihad Airways,Property Damage,Checked Baggage,-,-,In Review
3506,2017101744392,28-Sep-17,9/26/2017 0:00,CMH,John Glenn Columbus International,American Airlines,Property Damage,Checked Baggage,Medical/Science,-,In Review
3508,2017102544672,28-Sep-17,9/16/2017 0:00,CMH,John Glenn Columbus International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras,-,*Insufficient
3510,2017051839737,29-Mar-17,3/16/2017 5:23,CMH,John Glenn Columbus International,Southwest Airlines,-,Checked Baggage,Cosmetics & Grooming,$77.00,Settle
3512,2017083042530,30-Aug-17,8/18/2017 0:00,CMH,John Glenn Columbus International,Southwest Airlines,Property Damage,Checkpoint,Personal Electronics,-,In Review
3514,2017101144267,30-Aug-17,7/30/2017 0:00,CMH,John Glenn Columbus International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing; Household Items,-,*Insufficient
3515,2017101144267,2-Mar-17,2/17/2017 12:00,CMX,Houghton County Memorial,UAL,Passenger Property Loss,Checkpoint,Cosmetics & Grooming,$97.39,Approve in Full
3516,2017101144267,1-May-17,4/10/2017 7:10,COS,Colorado Springs Municipal,American Airlines,Property Damage,Checked Baggage,Audio/Video,-,In Review
3517,2017101144267,3-Apr-17,3/26/2017 0:00,COS,Colorado Springs Municipal,American Airlines,Passenger Property Loss,Checkpoint,Personal Electronics,-,In Review
3518,2017101144267,11-May-17,4/20/2017 0:00,COS,Colorado Springs Municipal,American Airlines,Passenger Property Loss,Checked Baggage,Other,-,In Review
3519,2017101144267,20-Jun-17,5/29/2017 0:00,COS,Colorado Springs Municipal,Allegiant Air,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
3520,2017101144267,25-Aug-17,7/8/2017 0:00,COS,Colorado Springs Municipal,Frontier Airlines,Property Damage,Checkpoint,Computer & Accessories,-,In Review
3521,2017101144267,30-May-17,5/24/2017 6:00,COS,Colorado Springs Municipal,UAL,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Cosmetics & Grooming; Medical/Science,$0.00,Deny
3522,2017101144267,2-Mar-17,2/21/2017 0:00,COU,"Columbia, MO",American Airlines,Property Damage,Checked Baggage,-,$60.00,Deny
3523,2017101144267,7-Jun-17,6/5/2017 6:05,COU,"Columbia, MO",Not Provided,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,-,*Insufficient
3524,2017101144267,6-Jul-17,6/7/2017 0:00,CPR,Natrona International,UAL,Property Damage,Checked Baggage,Tools & Home Improvement Supplies,-,In Review
3525,2017101144267,8-Jun-17,5/29/2017 0:00,CRP,Corpus Christi International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Household Items,-,In Review
3526,2017101144267,9-Jun-17,6/8/2017 0:00,CRP,Corpus Christi International,American Airlines,Property Damage,Checked Baggage,Other,-,In Review
3527,2017101144267,11-Sep-17,9/8/2017 10:30,CSG,Columbus Metroplitan,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing,-,In Review
3528,2017101144267,19-Oct-17,8/21/2017 16:00,CSG,Columbus Metroplitan,Delta Air Lines,Property Damage,Checked Baggage,Home Decor,-,In Review
3529,2017101144267,21-Aug-17,3/5/2017 0:00,CSG,Columbus Metroplitan,Delta Air Lines,Passenger Property Loss,Checkpoint,Jewelry & Watches,-,In Review
3530,2017101144267,27-Jun-17,6/17/2017 0:00,CSG,Columbus Metroplitan,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing,-,In Review
3531,2017101144267,28-Sep-17,9/19/2017 0:00,CSG,Columbus Metroplitan,Delta Air Lines,Property Damage,-,Baggage/Cases/Purses,-,In Review
3534,2017103144886,3-Oct-17,9/25/2017 15:30,CVG,International,UAL,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,-,In Review
3537,2017100544107,5-Sep-17,8/28/2017 15:30,CVG,International,Allegiant Air,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,-,In Review
3540,2017052439915,6-Apr-17,3/5/2017 13:00,CVG,International,Allegiant Air,Property Damage,Checked Baggage,Baggage/Cases/Purses,$60.00,Settle
3543,2017081442168,7-Aug-17,7/3/2017 0:00,CVG,International,American Airlines,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,In Review
3546,2017101044140,7-Sep-17,3/29/2017 0:00,CVG,International,Frontier Airlines,Property Damage,Checkpoint,Personal Accessories,-,In Review
3549,2017112545422,9-Nov-17,10/21/2017 13:00,CVG,International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing; Food & Drink; Travel Accessories,-,In Review
3552,2017091943197,10-Aug-17,7/23/2017 0:00,CVG,International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,-,In Review
3555,2017103144904,10-Oct-17,10/3/2017 0:00,CVG,International,Delta Air Lines,Property Damage,Checked Baggage,-,-,In Review
3558,2017070541196,16-May-17,5/8/2017 12:30,CVG,International,Frontier Airlines,Passenger Property Loss,Checked Baggage,Clothing,-,In Review
3561,2017070641225,17-May-17,4/23/2017 0:00,CVG,International,Volaris Airlines,Property Damage,Checkpoint,Personal Accessories,-,In Review
3564,2017101244342,19-Sep-17,8/21/2017 7:00,CVG,International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Travel Accessories,-,In Review
3567,2017120445710,20-Nov-17,10/22/2017 8:55,CVG,International,Delta Air Lines,Property Damage,Checkpoint,Baggage/Cases/Purses,-,In Review
3570,2017120545732,20-Nov-17,11/4/2017 9:30,CVG,International,-,Personal Injury,Checkpoint,Other,-,*Insufficient
3573,2017111545195,23-Oct-17,9/24/2017 8:00,CVG,International,Allegiant Air,Property Damage,Checkpoint,Travel Accessories,-,In Review
3576,2017071241437,30-May-17,5/29/2017 7:55,CVG,International,American Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
3579,2017051139420,10-Apr-17,3/28/2017 0:00,CYS,Olson Field,UAL,Passenger Property Loss,Checked Baggage,Clothing,$0.00,Deny
3580,2017051139420,7-Apr-17,3/31/2017 0:00,DAB,Daytona Beach International,American Airlines,Not Provided,Checked Baggage,Personal Accessories,-,*Insufficient
3581,2017051139420,8-Sep-17,6/28/2017 0:00,DAB,Daytona Beach International,Delta Air Lines,Passenger Property Loss,Checkpoint,Jewelry & Watches,-,In Review
3582,2017051139420,17-May-17,5/13/2017 13:31,DAB,Daytona Beach International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Personal Accessories,-,In Review
3583,2017051139420,23-Mar-17,1/26/2017 16:30,DAB,Daytona Beach International,Delta Air Lines,Property Damage,Checkpoint,Personal Electronics,-,In Review
3584,2017051139420,1-Mar-17,2/10/2017 15:20,DAL,Dallas Love Field,Virgin America,Property Damage,Checkpoint,Personal Electronics,-,In Review
3585,2017051139420,2-Jun-17,5/10/2017 0:00,DAL,Dallas Love Field,Not Provided,Property Damage,Checked Baggage,Clothing,-,In Review
3586,2017051139420,3-Feb-17,2/3/2017 11:45,DAL,Dallas Love Field,Virgin America,Property Damage,Checkpoint,Computer & Accessories,-,Closed: Canceled
3587,2017051139420,3-Oct-17,9/17/2017 0:00,DAL,Dallas Love Field,Southwest Airlines,Property Damage,Checked Baggage,Computer & Accessories,-,In Review
3588,2017051139420,4-Aug-17,7/14/2017 21:00,DAL,Dallas Love Field,Southwest Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
3589,2017051139420,5-May-17,4/29/2017 0:00,DAL,Dallas Love Field,Southwest Airlines,Property Damage,Checkpoint,Jewelry & Watches,-,In Review
3590,2017051139420,5-Sep-17,8/21/2017 0:00,DAL,Dallas Love Field,Southwest Airlines,Property Damage,-,Personal Electronics,-,In Review
3591,2017051139420,5-Sep-17,8/31/2017 10:00,DAL,Dallas Love Field,-,Passenger Property Loss,Checked Baggage,-,-,In Review
3592,2017051139420,6-Feb-17,2/3/2017 11:45,DAL,Dallas Love Field,Virgin America,Property Damage,Checkpoint,Computer & Accessories,-,In Review
