,Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
11080,2017062240963,15-Feb-17,2/15/2017 0:00,ONT,Ontario International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing; Jewelry & Watches,-,In Review
11081,2017062240963,15-May-17,5/1/2017 0:00,ONT,Ontario International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,$20.00,Approve in Full
11082,2017062240963,16-Feb-17,1/21/2017 0:00,ONT,Ontario International,Southwest Airlines,Property Damage,Checked Baggage,Sporting Equipment & Supplies,-,In Review
11083,2017062240963,20-Jul-17,7/19/2017 0:00,ONT,Ontario International,Southwest Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
11084,2017062240963,21-Feb-17,1/7/2017 0:00,ONT,Ontario International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Audio/Video,-,Closed: Canceled
11085,2017062240963,21-Jun-17,6/16/2017 18:00,ONT,Ontario International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Tools & Home Improvement Supplies,-,*Insufficient
11086,2017062240963,22-Sep-17,9/8/2017 0:00,ONT,Ontario International,American Airlines,Passenger Property Loss,Checked Baggage,Other,-,In Review
11087,2017062240963,24-Jul-17,7/19/2017 0:00,ONT,Ontario International,-,Property Damage,Checkpoint,Medical/Science,-,In Review
11088,2017062240963,27-Nov-17,11/27/2017 10:00,ONT,Ontario International,American Airlines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Clothing; Food & Drink; Other,-,In Review
11089,2017062240963,30-May-17,4/29/2017 0:00,ONT,Ontario International,Southwest Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing,$0.00,Deny
11090,2017062240963,31-Jul-17,7/8/2017 19:35,ONT,Ontario International,Southwest Airlines,Property Damage,Checked Baggage,Home Decor,-,In Review
11093,2017120645751,1-Dec-17,9/30/2017 0:00,ORD,Airport,Hainan Airlines,Passenger Property Loss,Checkpoint,Currency,-,In Review
11096,2017121546006,1-Dec-17,11/20/2017 16:38,ORD,Airport,American Airlines,Property Damage,Checkpoint,Other,-,In Review
11099,2017071341507,1-Jun-17,5/18/2017 6:00,ORD,Airport,American Airlines,Passenger Property Loss,Checkpoint,Clothing,-,In Review
11102,2017071941697,1-Jun-17,2/26/2017 21:00,ORD,Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,In Review
11105,2017071241426,1-Jun-17,5/24/2017 0:00,ORD,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,$13.95,Approve in Full
11108,2017051839645,1-Mar-17,2/18/2017 0:00,ORD,Airport,Air Canada,Property Damage,Checked Baggage,Cosmetics & Grooming,-,In Review
11111,2017051639580,1-May-17,4/27/2017 0:00,ORD,Airport,American Airlines,Passenger Property Loss,Checkpoint,Food & Drink,-,*Insufficient
11114,2017051939771,1-May-17,4/24/2017 0:00,ORD,Airport,-,Passenger Property Loss,Other,Clothing,-,*Insufficient
11117,2017112645470,1-Nov-17,10/11/2017 0:00,ORD,Airport,UAL,Passenger Property Loss,Checked Baggage,Clothing,-,In Review
11120,2017091343018,2-Aug-17,7/8/2017 0:00,ORD,Airport,UAL,-,-,Sporting Equipment & Supplies,-,In Review
11123,2017091443096,2-Aug-17,7/26/2017 0:00,ORD,Airport,Spirit Airlines,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,In Review
11126,2018011146760,2-Jan-17,12/9/2017 0:00,ORD,Airport,American Airlines,Passenger Property Loss,Checkpoint,Personal Electronics,-,In Review
11129,2018010946642,2-Jan-17,12/27/2017 0:00,ORD,Airport,UAL,Passenger Property Loss,Checkpoint,Computer & Accessories,-,*Insufficient
11132,2017071841646,2-Jun-17,5/15/2017 0:00,ORD,Airport,American Airlines,Property Damage,Checkpoint,Clothing,-,In Review
11135,2017071841673,2-Jun-17,5/17/2017 0:00,ORD,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Other,-,In Review
11138,2017061940772,2-May-17,3/18/2017 0:00,ORD,Airport,UAL,Property Damage,Checkpoint,Personal Electronics,-,In Review
11141,2017052239801,2-May-17,4/22/2017 0:00,ORD,Airport,Etihad Airways,Passenger Property Loss,Checked Baggage,Clothing; Computer & Accessories; Jewelry & Watches,$0.00,Deny
11144,2017062140895,2-May-17,3/16/2017 0:00,ORD,Airport,UAL,Property Damage,Checked Baggage,Home Decor,-,*Insufficient
11147,2017062741010,2-May-17,4/28/2017 6:30,ORD,Airport,-,Passenger Property Loss,-,Other,-,*Insufficient
11150,2017120145687,2-Nov-17,10/20/2017 0:00,ORD,Airport,American Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses; Sporting Equipment & Supplies; Travel Accessories,-,In Review
11153,2017102544661,2-Oct-17,9/25/2017 0:00,ORD,Airport,Delta Air Lines,Property Damage,Checkpoint,Baggage/Cases/Purses,-,In Review
11156,2017102644777,2-Oct-17,9/10/2017 0:00,ORD,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Clothing,-,In Review
11159,2017103144874,2-Oct-17,6/15/2017 17:45,ORD,Airport,UAL,Passenger Property Loss,Checkpoint,Jewelry & Watches,-,In Review
11162,2017103044828,2-Oct-17,8/23/2017 0:00,ORD,Airport,UAL,-,Checked Baggage,-,-,*Insufficient
11165,2017050939334,3-Apr-17,3/29/2017 13:15,ORD,Airport,American Airlines,Passenger Property Loss,Checkpoint,Currency,$0.00,Deny
11168,2017081042131,3-Aug-17,8/2/2017 0:00,ORD,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,In Review
11171,2017091142890,3-Jul-17,6/30/2017 0:00,ORD,Airport,Qatar airlines,Passenger Property Loss,Checked Baggage,-,-,In Review
11174,2017050939309,3-Mar-17,2/18/2017 0:00,ORD,Airport,UAL,Passenger Property Loss,Checkpoint,Food & Drink,$0.00,Deny
11177,2017061440666,3-May-17,4/21/2017 0:00,ORD,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Food & Drink; Medical/Science,-,In Review
11180,2017112945581,3-Nov-17,10/23/2017 12:00,ORD,Airport,Spirit Airlines,Property Damage,Checked Baggage,Computer & Accessories,-,In Review
11183,2017091343030,4-Aug-17,8/2/2017 0:00,ORD,Airport,American Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing,-,In Review
11186,2017091443072,4-Aug-17,6/17/2017 18:30,ORD,Airport,Lufthansa,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
11189,2017120445714,4-Dec-17,11/6/2017 11:00,ORD,Airport,American Eagle,Passenger Property Loss,Checked Baggage,Clothing,-,In Review
11192,2018010446459,5-Dec-17,11/12/2017 20:40,ORD,Airport,UAL,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
11195,2017082442431,5-Jul-17,6/5/2017 0:00,ORD,Airport,UAL,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,In Review
